ad_id,user_id,page_id,page_name,ad_creation_time,ad_delivery_start_time,ad_delivery_stop_time,ad_creative_body,publisher_platforms,impressions_min,impressions_max,spend_min,spend_max,currency,age_group,gender,target_ages,target_gender,target_locations,ad_interests,estimated_audience_size_min,estimated_audience_size_max
AD_4744109536,USER_000046,192495,TechCorp,2025-09-24,2025-09-28,2025-10-17,Discover amazing online_courses opportunities,"Facebook,Instagram",944,1653,59,400,USD,35-44,Male,35-44,Male,100XX,"parenting,real_estate,online_courses,tech_news,fitness,yoga,cycling,motorcycles",9838,76855
AD_6810440613,USER_000047,385006,OnlineRetailer,2025-05-29,2025-05-30,2025-06-22,Discover amazing football opportunities,Facebook,634,2529,47,214,USD,45-54,Male,45-54,Male,900XX,"real_estate,parenting,real_estate,luxury_cars,football",9994,56481
AD_7663269168,USER_000048,583359,GamingCompany,2025-06-16,2025-06-21,2025-08-11,Discover amazing wine opportunities,Instagram,2611,4559,89,526,USD,25-34,Male,25-34,Male,770XX,"music,fitness,online_courses,tech_news,software,wine",8557,54526
AD_1587424958,USER_000049,302548,TravelAgency,2025-09-22,2025-09-28,2025-10-10,Discover amazing retirement_planning opportunities,"Facebook,Instagram",4964,6750,46,173,USD,65+,Female,65+,Female,600XX,"retirement_planning,luxury_travel,online_courses",9079,15186
AD_5372442899,USER_000050,583359,GamingCompany,2025-07-05,2025-07-11,2025-08-10,Discover amazing professional_development opportunities,Facebook,3996,4592,68,567,USD,45-54,Male,45-54,Male,850XX,"investing,professional_development,online_courses,tech_news,running",6261,40714
AD_8330160983,USER_000051,746137,StreamingService,2025-05-21,2025-05-26,2025-07-23,Discover amazing discount_shopping opportunities,Instagram,4399,5350,86,162,USD,18-24,Male,18-24,Male,600XX,"gaming,music,online_courses,luxury_cars,car_maintenance,childcare,discount_shopping,liberal_politics",6135,42250
AD_8539639249,USER_000052,302548,TravelAgency,2025-09-29,2025-10-05,2025-10-18,Discover amazing golf opportunities,Facebook,7116,8786,62,343,USD,55-64,Male,55-64,Male,850XX,"luxury_travel,golf,investing,real_estate,wine,basketball,baseball,supplements",5405,95464
AD_3989263879,USER_000053,302548,TravelAgency,2025-09-23,2025-09-24,2025-10-05,Discover amazing wine opportunities,Facebook,3132,5070,38,411,USD,65+,Male,65+,Male,100XX,"luxury_travel,wine,online_courses,gadgets,home_decor,computers,liberal_politics,wellness",9088,17390
AD_2587311123,USER_000054,746137,StreamingService,2025-08-21,2025-08-25,2025-09-25,Discover amazing streaming_services opportunities,Facebook,3377,4894,32,108,USD,65+,Male,65+,Male,600XX,"golf,retirement_planning,discount_shopping,basketball,wellness,streaming_services,university",3048,43884
AD_6497500232,USER_000055,306543,RealEstateGroup,2025-06-16,2025-06-19,2025-06-26,Discover amazing professional_development opportunities,Facebook,7896,9324,64,354,USD,35-44,Male,35-44,Male,770XX,"investing,professional_development,budget_travel",2061,66590
AD_2397125346,USER_000056,192495,TechCorp,2025-08-11,2025-08-15,2025-09-28,Discover amazing movies opportunities,"Facebook,Instagram",2624,3870,55,173,USD,18-24,Male,18-24,Male,850XX,"music,streaming_services,luxury_travel,luxury_brands,football,movies,organic_food,electric_vehicles",6448,92890
AD_3345691473,USER_000057,583359,GamingCompany,2025-07-18,2025-07-19,2025-08-23,Discover amazing wine opportunities,Facebook,3440,3955,95,408,USD,65+,Male,65+,Male,850XX,"wine,retirement_planning,online_courses,football",1594,56887
AD_8229603604,USER_000058,746137,StreamingService,2025-07-17,2025-07-23,2025-09-11,Discover amazing investing opportunities,Instagram,3976,4517,41,115,USD,25-34,Male,25-34,Male,600XX,"music,streaming_services,investing",8899,46457
AD_3551956808,USER_000059,302548,TravelAgency,2025-08-15,2025-08-22,2025-10-01,Discover amazing travel opportunities,Instagram,5115,6953,94,374,USD,65+,Male,65+,Male,100XX,"travel,luxury_travel,luxury_brands,luxury_cars,online_shopping",6922,89429
AD_6390233269,USER_000060,302548,TravelAgency,2025-08-13,2025-08-16,2025-09-14,Discover amazing fashion opportunities,"Facebook,Instagram",2203,2968,34,369,USD,55-64,Female,55-64,Female,980XX,"wine,luxury_travel,real_estate,investing,fashion,theater,luxury_brands,beach_destinations",5045,29712
AD_1718298006,USER_000061,302548,TravelAgency,2025-09-15,2025-09-19,2025-11-12,Discover amazing professional_development opportunities,"Facebook,Instagram",4952,5702,60,213,USD,35-44,Female,35-44,Female,770XX,"professional_development,real_estate,real_estate,luxury_travel",9937,66514
AD_2139716556,USER_000062,282826,AutoDealer,2025-05-20,2025-05-27,2025-06-16,Discover amazing online_courses opportunities,Instagram,4885,5918,97,507,USD,35-44,Male,35-44,Male,600XX,"investing,parenting,online_courses",4128,46316
AD_8425794441,USER_000063,583359,GamingCompany,2025-07-13,2025-07-20,2025-09-14,Discover amazing basketball opportunities,Instagram,7356,7969,19,137,USD,65+,Male,65+,Male,770XX,"travel,golf,luxury_cars,luxury_travel,basketball,gaming,liberal_politics",4573,76487
AD_6264846329,USER_000064,385006,OnlineRetailer,2025-09-27,2025-09-28,2025-10-28,Discover amazing real_estate opportunities,"Facebook,Instagram",8801,9490,69,519,USD,25-34,Female,25-34,Female,900XX,"online_shopping,music,real_estate,luxury_cars,budget_travel,software",4252,24934
AD_1078278150,USER_000065,302548,TravelAgency,2025-08-13,2025-08-18,2025-09-02,Discover amazing soccer opportunities,Facebook,3599,5359,51,153,USD,65+,Female,65+,Female,770XX,"luxury_travel,travel,budget_travel,retirement_planning,discount_shopping,soccer,parenting,music",7787,28404
AD_1257301808,USER_000066,302548,TravelAgency,2025-08-05,2025-08-11,2025-09-06,Discover amazing luxury_cars opportunities,"Facebook,Instagram",2855,4829,56,545,USD,45-54,Female,45-54,Female,770XX,"professional_development,parenting,luxury_travel,luxury_brands,wellness,luxury_cars",5003,82477
AD_4161042861,USER_000067,295351,FashionBrand,2025-08-07,2025-08-12,2025-08-31,Discover amazing fashion opportunities,Facebook,1820,3689,67,464,USD,35-44,Female,35-44,Female,600XX,"investing,professional_development,budget_travel,fashion,online_shopping",4764,52790
AD_9281976183,USER_000068,302548,TravelAgency,2025-07-15,2025-07-22,2025-09-20,Discover amazing adventure_travel opportunities,"Facebook,Instagram",6116,7849,90,565,USD,65+,Male,65+,Male,980XX,"travel,golf,discount_shopping,computers,adventure_travel,gadgets,electric_vehicles",6563,84513
AD_4458065592,USER_000069,302548,TravelAgency,2025-08-01,2025-08-02,2025-09-11,Discover amazing real_estate opportunities,Instagram,5433,6773,88,309,USD,35-44,Male,35-44,Male,600XX,"parenting,real_estate,real_estate",8997,45937
AD_7721088315,USER_000070,741474,PoliticalCampaign,2025-07-27,2025-07-28,2025-08-12,Discover amazing parenting opportunities,Instagram,1598,2588,69,220,USD,35-44,Male,35-44,Male,850XX,"parenting,investing,online_courses,basketball,theater,luxury_cars,wine",7413,48408
AD_1871502113,USER_000071,302548,TravelAgency,2025-10-02,2025-10-04,2025-10-28,Discover amazing soccer opportunities,"Facebook,Instagram",6952,7543,47,524,USD,55-64,Female,55-64,Female,100XX,"wine,golf,luxury_travel,luxury_cars,soccer,car_maintenance,restaurants",5441,97563
AD_5704413568,USER_000072,583359,GamingCompany,2025-09-12,2025-09-16,2025-10-31,Discover amazing baseball opportunities,Facebook,2127,3027,90,278,USD,18-24,Female,18-24,Female,770XX,"online_shopping,streaming_services,budget_travel,baseball,luxury_cars,concerts",8460,74041
AD_2543615732,USER_000073,302548,TravelAgency,2025-06-03,2025-06-05,2025-06-13,Discover amazing adventure_travel opportunities,Facebook,3979,4886,15,123,USD,35-44,Female,35-44,Female,600XX,"investing,real_estate,luxury_brands,luxury_travel,concerts,movies,adventure_travel",8433,66340
AD_9275208507,USER_000074,192495,TechCorp,2025-07-30,2025-08-05,2025-09-18,Discover amazing gaming opportunities,"Facebook,Instagram",988,2645,85,185,USD,35-44,Male,35-44,Male,330XX,"parenting,professional_development,online_courses,gaming,supplements",8666,12797
AD_1867763226,USER_000075,746137,StreamingService,2025-06-18,2025-06-19,2025-08-02,Discover amazing smartphones opportunities,Facebook,5174,6673,12,320,USD,35-44,Female,35-44,Female,600XX,"professional_development,investing,discount_shopping,home_decor,fitness,smartphones",2140,39893
AD_2405941490,USER_000076,875482,NewsOutlet,2025-08-28,2025-09-01,2025-10-30,Discover amazing motorcycles opportunities,Instagram,1591,2238,50,288,USD,65+,Male,65+,Male,980XX,"retirement_planning,wine,online_courses,professional_development,motorcycles,yoga",1151,42664
AD_7641366159,USER_000077,606599,HealthWellness,2025-09-04,2025-09-11,2025-09-26,Discover amazing budget_travel opportunities,"Facebook,Instagram",707,2247,24,186,USD,45-54,Male,45-54,Male,980XX,"professional_development,parenting,budget_travel",7988,90770
AD_3838370121,USER_000078,295351,FashionBrand,2025-05-19,2025-05-24,2025-06-25,Discover amazing luxury_brands opportunities,Facebook,6906,8821,70,127,USD,45-54,Male,45-54,Male,770XX,"professional_development,real_estate,luxury_brands,real_estate,basketball",6273,75001
AD_3880805201,USER_000079,295351,FashionBrand,2025-08-04,2025-08-10,2025-08-22,Discover amazing investing opportunities,Instagram,5706,7635,74,462,USD,35-44,Female,35-44,Female,900XX,"parenting,professional_development,investing,luxury_brands,retirement_planning,car_maintenance,home_decor",4418,61116
AD_1141331173,USER_000080,583359,GamingCompany,2025-05-30,2025-06-05,2025-07-24,Discover amazing luxury_travel opportunities,Facebook,1200,2444,54,206,USD,18-24,Male,18-24,Male,900XX,"streaming_services,gaming,luxury_travel,luxury_brands,gaming,conservative_politics",4637,48522
AD_6142461658,USER_000081,138365,FitnessCenter,2025-07-25,2025-08-01,2025-09-13,Discover amazing wellness opportunities,Facebook,1596,3503,91,563,USD,35-44,Female,35-44,Female,600XX,"real_estate,investing,discount_shopping,wellness,theater,cooking,certifications,online_courses",9842,18651
AD_3318048292,USER_000082,302548,TravelAgency,2025-06-12,2025-06-15,2025-08-07,Discover amazing luxury_travel opportunities,Instagram,9369,10015,39,227,USD,35-44,Male,35-44,Male,770XX,"investing,professional_development,luxury_cars,luxury_travel",4676,87301
AD_3289397450,USER_000083,583359,GamingCompany,2025-10-03,2025-10-07,2025-12-06,Discover amazing wellness opportunities,Instagram,3945,5804,95,231,USD,25-34,Female,25-34,Female,850XX,"fitness,streaming_services,budget_travel,wellness,tech_news,childcare,organic_food",6281,42642
AD_2475999057,USER_000084,282826,AutoDealer,2025-07-08,2025-07-09,2025-07-24,Discover amazing investing opportunities,"Facebook,Instagram",4804,5364,85,424,USD,35-44,Female,35-44,Female,330XX,"parenting,investing,investing",3986,73027
AD_3744667807,USER_000085,192495,TechCorp,2025-07-20,2025-07-24,2025-08-11,Discover amazing streaming_services opportunities,"Facebook,Instagram",1239,2024,67,237,USD,25-34,Male,25-34,Male,330XX,"online_shopping,streaming_services,discount_shopping,electric_vehicles",7776,36159
AD_1794748159,USER_000086,583359,GamingCompany,2025-06-25,2025-06-27,2025-07-11,Discover amazing wellness opportunities,Instagram,5065,6641,81,163,USD,45-54,Female,45-54,Female,330XX,"parenting,real_estate,online_courses,wellness,car_maintenance,professional_development,streaming_services,fitness",2699,74513
AD_7702883921,USER_000087,583359,GamingCompany,2025-09-18,2025-09-19,2025-09-27,Discover amazing online_shopping opportunities,Instagram,4021,5450,92,306,USD,25-34,Female,25-34,Female,600XX,"streaming_services,online_shopping,luxury_brands,luxury_travel",9768,37736
AD_2148326165,USER_000088,302548,TravelAgency,2025-07-19,2025-07-26,2025-08-13,Discover amazing travel opportunities,"Facebook,Instagram",685,2475,24,434,USD,55-64,Female,55-64,Female,850XX,"retirement_planning,travel,online_courses,university,credit_cards",6539,72054
AD_7403911621,USER_000089,385006,OnlineRetailer,2025-09-19,2025-09-20,2025-10-16,Discover amazing discount_shopping opportunities,Instagram,2244,3940,47,108,USD,45-54,Female,45-54,Female,600XX,"investing,professional_development,discount_shopping,fashion,mental_health,home_decor",8989,89238
AD_8398113084,USER_000090,583359,GamingCompany,2025-07-24,2025-07-28,2025-08-18,Discover amazing fitness opportunities,Facebook,1482,2008,31,164,USD,25-34,Female,25-34,Female,100XX,"fitness,streaming_services,real_estate,luxury_cars",8639,49976
AD_4735598002,USER_000091,302548,TravelAgency,2025-07-14,2025-07-16,2025-08-13,Discover amazing beach_destinations opportunities,Facebook,657,1209,40,94,USD,45-54,Male,45-54,Male,850XX,"real_estate,parenting,discount_shopping,movies,luxury_brands,beach_destinations,conservative_politics",7939,80429
AD_4931096689,USER_000092,385006,OnlineRetailer,2025-07-16,2025-07-17,2025-09-03,Discover amazing cryptocurrency opportunities,Facebook,1432,1977,34,164,USD,45-54,Female,45-54,Female,770XX,"real_estate,professional_development,budget_travel,fashion,cryptocurrency,concerts,theater,online_shopping",5735,30935
AD_2487826357,USER_000093,192495,TechCorp,2025-07-29,2025-08-03,2025-09-08,Discover amazing online_courses opportunities,Facebook,250,904,76,277,USD,65+,Male,65+,Male,600XX,"golf,retirement_planning,online_courses,football,childcare,gaming,yoga",4295,62884
AD_9753307131,USER_000094,385006,OnlineRetailer,2025-09-06,2025-09-08,2025-10-03,Discover amazing childcare opportunities,Facebook,3470,4015,88,259,USD,45-54,Male,45-54,Male,600XX,"parenting,real_estate,investing,real_estate,online_shopping,childcare,retirement_planning",9648,51580
AD_4582100670,USER_000095,583359,GamingCompany,2025-07-21,2025-07-23,2025-08-08,Discover amazing professional_development opportunities,"Facebook,Instagram",631,1740,82,247,USD,45-54,Male,45-54,Male,600XX,"investing,professional_development,discount_shopping",5534,96681
AD_8750592061,USER_000096,302548,TravelAgency,2025-07-21,2025-07-27,2025-08-17,Discover amazing real_estate opportunities,Facebook,1107,2762,85,194,USD,35-44,Female,35-44,Female,900XX,"professional_development,real_estate,luxury_travel,real_estate",9017,67106
AD_2334841333,USER_000097,583359,GamingCompany,2025-07-14,2025-07-18,2025-08-27,Discover amazing streaming_services opportunities,"Facebook,Instagram",1853,3790,90,323,USD,25-34,Female,25-34,Female,900XX,"fitness,streaming_services,discount_shopping,home_decor,online_shopping,parenting,university,cruise_travel",8703,78289
AD_7487681557,USER_000098,302548,TravelAgency,2025-09-04,2025-09-09,2025-09-16,Discover amazing real_estate opportunities,"Facebook,Instagram",7827,8720,32,316,USD,55-64,Male,55-64,Male,900XX,"retirement_planning,luxury_travel,luxury_cars,real_estate",5108,82916
AD_5606987018,USER_000099,192495,TechCorp,2025-08-26,2025-08-30,2025-10-12,Discover amazing discount_shopping opportunities,Facebook,2166,3489,76,134,USD,18-24,Female,18-24,Female,900XX,"online_shopping,gaming,discount_shopping,home_decor,wine,political_activism",9237,91867
AD_4100746265,USER_000100,295351,FashionBrand,2025-09-09,2025-09-13,2025-10-18,Discover amazing restaurants opportunities,Instagram,2985,4053,17,115,USD,35-44,Female,35-44,Female,850XX,"investing,real_estate,discount_shopping,restaurants,luxury_brands,cooking",8396,55584
AD_8342121016,USER_000101,192495,TechCorp,2025-08-12,2025-08-18,2025-10-05,Discover amazing cruise_travel opportunities,Facebook,1443,2675,90,552,USD,35-44,Male,35-44,Male,600XX,"investing,parenting,discount_shopping,gaming,cruise_travel,fashion",8499,35071
AD_9054471490,USER_000102,746137,StreamingService,2025-06-22,2025-06-26,2025-07-22,Discover amazing tech_news opportunities,Facebook,371,1108,87,514,USD,35-44,Male,35-44,Male,770XX,"parenting,professional_development,luxury_brands,investing,tech_news,education",3876,13400
AD_7404684175,USER_000103,192495,TechCorp,2025-08-20,2025-08-21,2025-10-03,Discover amazing university opportunities,"Facebook,Instagram",529,1972,77,460,USD,25-34,Female,25-34,Female,600XX,"streaming_services,fitness,luxury_travel,luxury_cars,home_decor,university",1943,97949
